Config,Model,Type,Epoch,Loss,Accuracy,Bleu1,Bleu2,Rouge,Meteor
4,resnet50,train,1,6.6397,0.0,2.1361587593189923e-05,0.0,2.3113905325443786e-05,2.969247837960856e-05
4,resnet50,val,1,6.2317,0.0006370953259834054,0.0014391319719047064,0.0,0.004387008650241306,0.0019650695984694037
4,resnet50,train,2,6.1900,0.012395748549488932,0.011720136638755934,0.00026465287742788657,0.026484141547867227,0.012538987168637742
4,resnet50,val,2,6.1397,0.02170184432978695,0.019057156894918506,0.0011850349515211533,0.04192539769963888,0.01983437431717859
4,resnet50,train,3,6.0411,0.024482978099656823,0.020146057669438625,0.0012165088398204524,0.0399261948643698,0.019399945883243567
4,resnet50,val,3,6.0730,0.03046884704890586,0.02169156180872616,0.0013037885029213367,0.04396966380285385,0.02130464160328679
4,resnet50,train,4,5.8998,0.0320330905921794,0.02641654401554011,0.0018764524528325662,0.04991173934146061,0.024374425049176248
4,resnet50,val,4,6.0602,0.03284297105046226,0.025144689861789835,0.0017678779729830153,0.050562356086148716,0.024838067039121378
4,resnet50,train,5,5.7781,0.040003338403293516,0.034160918003229734,0.003154934325467241,0.061402255119423384,0.03048419103628571
4,resnet50,val,5,6.0297,0.03573941392386318,0.03225067945191703,0.00285048440806181,0.06188278754862563,0.030462757223093127
4,resnet50,train,6,5.6597,0.050309386612517035,0.04428088598603882,0.0056450927614337554,0.07615950198390276,0.03803623934607461
4,resnet50,val,6,6.0187,0.047775959167005805,0.04097456785396441,0.0036553224941566413,0.07186720988922693,0.03595189942115351
4,resnet50,train,7,5.5504,0.05980177611530876,0.05433082900658644,0.007541647322243199,0.09006504634415341,0.04541721580308885
4,resnet50,val,7,6.0514,0.04289369889343317,0.03954778765212578,0.0035447355271842323,0.07508164528686359,0.037596668606347916
4,resnet50,train,8,5.4358,0.06813933374546205,0.06490914440050882,0.01170851623628879,0.10322891553892707,0.05272934649892796
4,resnet50,val,8,6.0391,0.04996596756065646,0.04399183986799446,0.006495518518756848,0.07667967747961768,0.03862011561737772
4,resnet50,train,9,5.3279,0.07983984612565298,0.07470365423954514,0.016344174014556255,0.11571710824990353,0.05930845750622258
4,resnet50,val,9,6.0553,0.04700423318891044,0.044390580949480445,0.007144714600242386,0.07445605185409686,0.03769036599024279
4,resnet50,train,10,5.2148,0.09199923086215511,0.08568488118479728,0.020862422116873766,0.1298610193038755,0.06702928517684216
4,resnet50,val,10,6.0825,0.047522398076456834,0.045588297795144506,0.006251751600957849,0.07385855976409954,0.037248990958853964
4,resnet50,train,11,5.1159,0.09958547463599257,0.09565277443923936,0.024141682583468837,0.14118500093495787,0.07324576209055979
4,resnet50,val,11,6.0741,0.04847539772724368,0.04796719577904201,0.0068528769773159,0.0782532780508633,0.040298136352802924
4,resnet50,train,12,5.0072,0.11018960600711591,0.10576752150243186,0.028343961984809055,0.15321760209625926,0.07993588565065604
4,resnet50,val,12,6.1632,0.04535123943521388,0.04587494606717821,0.007524870311260539,0.07830267989461694,0.04060533856866572
4,resnet50,train,13,4.9035,0.11994071994398812,0.1170667774277694,0.034026429959692545,0.16644184681527166,0.08745381683182582
4,resnet50,val,13,6.1547,0.048322359768515045,0.05106069780101987,0.008536575549280672,0.08121609477087573,0.04132347735335148
4,resnet50,train,14,4.8020,0.13083254403623698,0.12914330079407949,0.03922331290618441,0.1796121883605868,0.09524332898114603
4,resnet50,val,14,6.1882,0.05013984698434066,0.05218491587921119,0.00920540695192266,0.08482457819689343,0.043719973966533585
4,resnet50,train,15,4.6963,0.14373025547290066,0.14183280806623105,0.04530343691145332,0.19569872759187737,0.1049280556737128
4,resnet50,val,15,6.2299,0.052083047867271776,0.05332689436579973,0.006710858374355716,0.08501964342434215,0.043667094427817736
4,resnet50,train,16,4.5952,0.156110113783256,0.15635255201405393,0.05237106996990254,0.21168028205548298,0.11419342889152044
4,resnet50,val,16,6.2759,0.054979314144912333,0.054462814097388644,0.01150512259802524,0.08755358540524134,0.046255513712187196
4,resnet50,train,17,4.4902,0.17016989695735882,0.17106109301040248,0.06041683638165882,0.2288812638161856,0.12494516550027077
4,resnet50,val,17,6.2838,0.05181440816220931,0.05610285494264051,0.008850444372718773,0.08490494470187028,0.04436667888584845
4,resnet50,train,18,4.3885,0.1834567883032473,0.18566805929127492,0.06940223449675376,0.24446975443344351,0.13533551715452383
4,resnet50,val,18,6.3303,0.053014511875333084,0.05669717199395949,0.009102431434184814,0.08578688123703451,0.044181967567380936
4,resnet50,train,19,4.2997,0.19718494161747732,0.20172936067973768,0.07985304380940762,0.2629770414877754,0.14770835799865004
4,resnet50,val,19,6.3159,0.052494380040952235,0.05584496307767679,0.01279247783135269,0.07999089038329096,0.042871960354716514
4,resnet50,train,20,4.1940,0.21126664692014202,0.2175007006471963,0.08865300845761478,0.27910717596742735,0.15902356755678554
4,resnet50,val,20,6.4239,0.050574602737292425,0.05068698759507561,0.008634369030946342,0.07855301008177427,0.04148337091910275
