Config,Model,Type,Epoch,Loss,Accuracy,Bleu1,Bleu2,Rouge,Meteor
5,resnet50,train,1,6.3155,0.013596357160736634,0.010046854050327307,0.0005061422489366987,0.020293956275626742,0.01015155277952516
5,resnet50,val,1,6.1646,0.013905385179370395,0.010863187846473136,0.0013262707282401137,0.024532560730321642,0.01206539850858695
5,resnet50,train,2,6.1573,0.014342335860476431,0.014519189380140523,0.0007412223646304407,0.029605517834407322,0.014437535092206286
5,resnet50,val,2,6.0930,0.014904968349202324,0.01516992635936742,0.001398914638592243,0.03312108986217465,0.016083966302739363
5,resnet50,train,3,6.0901,0.015853821421019022,0.015324924036991467,0.0009313927007660145,0.030904078492414395,0.015171134321147833
5,resnet50,val,3,6.1053,0.022469998014221525,0.019118711273744485,0.0009146219410411026,0.03735797287466322,0.018548113771886057
5,resnet50,train,4,6.0509,0.016981052735014844,0.016634721849942767,0.0006698737138964493,0.03317441877820552,0.01615978006267864
5,resnet50,val,4,6.1088,0.020699328921064,0.01556364457651983,0.0014758081721283989,0.03263113480377611,0.01627182512477553
5,resnet50,train,5,6.0176,0.01757363343389,0.01701331182030869,0.0010663323076794775,0.03394726005435888,0.016702309219961294
5,resnet50,val,5,6.1263,0.02265819582904596,0.017596933591698952,0.0014921916925596996,0.03613589978394478,0.01800561501503689
5,resnet50,train,6,5.9691,0.019385924922710563,0.01814208241757901,0.0011471146117004176,0.036270242221461024,0.01785729032713089
5,resnet50,val,6,6.0988,0.02355807807765933,0.01813082624141847,0.001878448053259392,0.03714178169443197,0.01848549688394446
5,resnet50,train,7,5.9298,0.019129725726707052,0.018312163996125726,0.0013420086756084128,0.03697797536531675,0.018139438783757116
5,resnet50,val,7,6.0865,0.026518539911020943,0.02031431552166948,0.0011561711502701582,0.04264198123489018,0.020953989998332246
5,resnet50,train,8,5.8941,0.020380991379438714,0.019383298358492892,0.0016393491859435115,0.03870346625027514,0.01905237802204285
5,resnet50,val,8,6.0833,0.024108686867559306,0.01827791646182362,0.0014189654202148435,0.03901508946346715,0.019390124862339268
5,resnet50,train,9,5.8618,0.020427821734702003,0.019156241505414784,0.0014543009458462604,0.038601523898496776,0.019012640306064442
5,resnet50,val,9,6.0830,0.023255042492049835,0.019822600715782908,0.0011552075792787603,0.04143302456531373,0.02016939938003159
5,resnet50,train,10,5.8315,0.02127012296087899,0.020087413097948127,0.0015115851349733536,0.04031856751044554,0.019798569872482803
