Config,Model,Type,Epoch,Loss,Accuracy,Bleu1,Bleu2,Rouge,Meteor
6,resnet50,train,1,2.5724,0.01826650771272797,0.01327827333973499,0.0005793257821455213,0.02517491580011617,0.012963419912063952
6,resnet50,val,1,2.4164,0.03243460001711796,0.021281236631369896,0.0027272845155561654,0.037114331894348346,0.01880261895235339
6,resnet50,train,2,2.3318,0.04379140572735981,0.029240508868831075,0.0030558568122567363,0.05051489404937658,0.025646510164413824
6,resnet50,val,2,2.3563,0.0491938638647714,0.03262939924349495,0.005306209847234542,0.05445946816012057,0.028186998597393095
6,resnet50,train,3,2.2747,0.051921372536861854,0.03616452486334877,0.004862830375592183,0.058240923168448595,0.030506815795838672
6,resnet50,val,3,2.3896,0.04807181424009346,0.03428023492547134,0.0038541219222094926,0.05703193816754321,0.02895181822063384
6,resnet50,train,4,2.2395,0.05711309769109142,0.04002285805138039,0.006808874569860775,0.06339624085564412,0.03331709475995807
6,resnet50,val,4,2.3832,0.05874719746770287,0.03972823341113227,0.0067162372130421,0.061931305800532736,0.033355352504364895
6,resnet50,train,5,2.1814,0.0652450539128434,0.04557188763713367,0.009595440117045629,0.07132449513868028,0.038422323158519504
6,resnet50,val,5,2.3734,0.053126627962246147,0.03719599036213057,0.006758718993606975,0.056352632745172944,0.029893571702551473
6,resnet50,train,6,2.1594,0.06980678078827504,0.04865153435789272,0.012142444001381723,0.07638403099005982,0.041718821332119176
6,resnet50,val,6,2.4019,0.040047831251184066,0.029714782382248218,0.004730305460956096,0.04614039938287274,0.024729329311815887
6,resnet50,train,7,2.1633,0.06967256442107908,0.05009210411395572,0.01236817534357151,0.0768920634878017,0.04230395727857011
6,resnet50,val,7,2.4185,0.05062514927931774,0.038099600502689845,0.007753383733784222,0.05819762376616841,0.031591063677964264
6,resnet50,train,8,2.1337,0.0757375702021849,0.053616144629946225,0.015099995952192797,0.08194623148666408,0.04566882336288736
6,resnet50,val,8,2.3938,0.06015652239790575,0.04290024158404797,0.007641617405886453,0.06415868297311467,0.033961523661930844
6,resnet50,train,9,2.1044,0.08374517203119328,0.05871430687083451,0.017652393794602452,0.08945742844457927,0.05073542032415656
6,resnet50,val,9,2.4212,0.049131192520385364,0.03605007767249967,0.005264299884974402,0.052816998132054295,0.02811066173341338
6,resnet50,train,10,2.0876,0.09032677426231668,0.0637498404773502,0.021765490925155024,0.095802171664905,0.05575746210570403
6,resnet50,val,10,2.4347,0.052449801285730895,0.03865532261067528,0.006412252106523701,0.05828400560697103,0.03123746583141045
6,resnet50,train,11,2.0827,0.08638343049521358,0.06146539391779884,0.020723014724112025,0.09214290796226872,0.05384229780289782
6,resnet50,val,11,2.4098,0.058300845829556594,0.04190646349432862,0.007605179464280906,0.06430753556284577,0.034504700549762964
