Config,Model,Type,Epoch,Loss,Accuracy,Bleu1,Bleu2,Rouge,Meteor
6,resnet50,train,1,2.5429,0.015132869597038703,0.010970589135024154,0.0003662246581388169,0.0210214671604324,0.010639543112342867
6,resnet50,val,1,2.8356,0.01255712406960759,0.012021330252266836,0.0016315368832827263,0.022818585224667013,0.0119542278112948
6,resnet50,train,2,2.5648,0.008490773185967759,0.008401855946284406,0.00030497472013887346,0.016996455067368535,0.008920506374684247
6,resnet50,val,2,2.4733,0.01255712406960759,0.012021330252266836,0.0016315368832827263,0.022818585224667013,0.0119542278112948
6,resnet50,train,3,2.5339,0.009350790865546427,0.00837548166594461,0.00027453439460745045,0.016941093141724567,0.008725890665026098
6,resnet50,val,3,2.4799,0.01118846032477346,0.012004660783069089,0.0,0.025494083165472217,0.012419114340814963
6,resnet50,train,4,2.7308,0.006756358236639565,0.006600176308467451,0.00017387092413491653,0.013676559892337712,0.007120138205893393
6,resnet50,val,4,3.0315,0.0,0.0,0.0,0.0,0.0
6,resnet50,train,5,3.2225,0.0,0.0,0.0,0.00023678911900065747,9.866213291694062e-05
6,resnet50,val,5,3.0249,0.0,0.0,0.0,0.0,0.0
6,resnet50,train,6,3.2137,8.696040294553305e-05,9.40042148812826e-05,0.0,0.00037738036536113465,0.00016786863853349073
6,resnet50,val,6,3.0163,0.0,0.0,0.0,0.0,0.0
6,resnet50,train,7,3.1382,0.0,0.0,0.0,0.00023473454963839578,9.866213291694062e-05
6,resnet50,val,7,2.9918,0.0,0.0,0.0,0.0,0.0
6,resnet50,train,8,3.1372,0.0,0.0,0.0,0.00023678911900065744,9.866213291694062e-05
6,resnet50,val,8,3.0282,0.0,0.0,0.0,0.0,0.0
6,resnet50,train,9,3.1587,0.0,0.0,0.0,0.00023678911900065744,9.866213291694062e-05
6,resnet50,val,9,3.0202,0.0,0.0,0.0,0.0,0.0
6,resnet50,train,10,3.2034,0.0,0.0,0.0,0.00023678911900065747,9.866213291694062e-05
6,resnet50,val,10,3.0443,0.0,0.0,0.0,0.0,0.0
